_id	listing_url	property_type	room_type	bed_type	minimum_nights	maximum_nights	cancellation_policy	first_review	last_review	accommodates	bedrooms	beds	number_of_reviews	bathrooms	amenities	price	security_deposit	cleaning_fee	extra_people	guests_included	weekly_price	monthly_price	reviews_per_month	review_scores_accuracy	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value	review_scores_rating	availability_30	availability_60	availability_90	availability_365	host_response_time	host_response_rate	host_is_superhost	host_has_profile_pic	host_identity_verified	host_listings_count	host_total_listings_count	address_country_code	address_location_coordinates	address_location_is_location_exact
21977972	https://www.airbnb.com/rooms/21977972	Apartment	Entire home/apt	Real Bed	2	1125	strict_14_with_grace_period	2018-01-13T05:00:00Z	2019-01-02T05:00:00Z	4	1	2	16	1		74	400	91	7	2	NA	NA	NA	10	9	10	9	9	9	83	2	6	9	70	within an hour	94	FALSE	TRUE	FALSE	1198	1198	CA		TRUE
21982406	https://www.airbnb.com/rooms/21982406	Apartment	Entire home/apt	Real Bed	2	1125	strict_14_with_grace_period	2018-04-01T04:00:00Z	2018-04-01T04:00:00Z	4	1	2	1	1		40	0	10	15	2	NA	NA	NA	8	8	10	10	10	8	80	0	0	0	73	within an hour	100	FALSE	TRUE	FALSE	6	6	PT		FALSE
21986801	https://www.airbnb.com/rooms/21986801	Apartment	Entire home/apt	Real Bed	2	1125	strict_14_with_grace_period	2017-12-12T05:00:00Z	2019-01-14T05:00:00Z	2	1	1	6	1		754	0	210	0	1	NA	NA	NA	10	10	10	10	10	10	100	0	0	0	0	within a day	100	FALSE	TRUE	FALSE	1	1	HK		TRUE
22020910	https://www.airbnb.com/rooms/22020910	Apartment	Entire home/apt	Real Bed	3	1124	strict_14_with_grace_period	2017-12-23T05:00:00Z	2019-03-03T05:00:00Z	3	0	1	43	1		189	500	140	25	1	NA	NA	NA	10	10	10	10	10	10	99	5	26	52	244	within an hour	100	TRUE	TRUE	TRUE	7	7	AU		TRUE
22042206	https://www.airbnb.com/rooms/22042206	Apartment	Private room	Real Bed	31	160	strict_14_with_grace_period	2018-12-22T05:00:00Z	2018-12-22T05:00:00Z	1	1	1	1	1.5		15	0	0	0	1	NA	NA	NA	10	10	10	10	10	10	100	0	0	0	30	a few days or more	20	FALSE	TRUE	TRUE	3	3	ES		TRUE
22060712	https://www.airbnb.com/rooms/22060712	Apartment	Entire home/apt	Real Bed	14	21	strict_14_with_grace_period	2018-01-03T05:00:00Z	2019-01-05T05:00:00Z	2	1	1	12	1		105	NA	NA	0	1	NA	NA	NA	10	10	10	10	9	10	100	0	0	0	0	NA	NA	FALSE	TRUE	TRUE	1	1	US		TRUE
2206311	https://www.airbnb.com/rooms/2206311	Apartment	Entire home/apt	Real Bed	3	1125	flexible	NA	NA	2	0	2	0	1		140	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	FALSE	TRUE	TRUE	1	1	US		TRUE
220946	https://www.airbnb.com/rooms/220946	Condominium	Entire home/apt	Real Bed	3	90	moderate	2011-10-05T04:00:00Z	2018-12-28T05:00:00Z	2	1	1	132	1		146	350	110	35	2	999	3108	NA	9	9	9	9	9	9	92	1	5	12	166	within an hour	100	FALSE	TRUE	TRUE	1	1	US		FALSE
22108306	https://www.airbnb.com/rooms/22108306	Townhouse	Entire home/apt	Real Bed	1	20	moderate	2017-12-31T05:00:00Z	2019-02-27T05:00:00Z	3	1	2	32	1		150	500	60	50	3	NA	NA	NA	10	10	10	10	10	10	100	5	8	18	226	within an hour	100	FALSE	TRUE	FALSE	1	1	US		TRUE
22123688	https://www.airbnb.com/rooms/22123688	Villa	Entire home/apt	Real Bed	1	1125	super_strict_60	NA	NA	8	4	4	0	4		2356	10000	NA	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	58	88	363	NA	NA	FALSE	TRUE	FALSE	2	2	AU		FALSE
22125894	https://www.airbnb.com/rooms/22125894	Apartment	Entire home/apt	Real Bed	4	1125	flexible	2018-03-12T04:00:00Z	2019-03-03T05:00:00Z	2	1	1	14	1		597	10000	250	250	1	NA	NA	NA	10	10	9	10	10	9	94	3	3	8	8	within a few hours	100	TRUE	TRUE	TRUE	1	1	HK		TRUE
22130088	https://www.airbnb.com/rooms/22130088	Apartment	Private room	Real Bed	1	10000	flexible	2018-03-23T04:00:00Z	2018-03-23T04:00:00Z	1	1	1	1	1		35	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	39	69	69	within a day	50	FALSE	TRUE	FALSE	1	1	CA		FALSE
2213067	https://www.airbnb.com/rooms/2213067	Apartment	Entire home/apt	Real Bed	2	30	strict_14_with_grace_period	2016-02-21T05:00:00Z	2019-02-06T05:00:00Z	6	3	6	24	2.5		671	0	149	0	1	7460	33570	NA	10	10	10	10	10	10	100	6	32	54	74	within an hour	100	TRUE	TRUE	TRUE	1	1	BR		TRUE
